         445153 function calls (440351 primitive calls) in 3.247 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      317    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_receivebuffer.py:53(__iadd__)
       61    0.001    0.000    0.001    0.000 {method 'fullmatch' of 're.Pattern' objects}
      102    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      202    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       47    0.001    0.000    0.016    0.000 /usr/lib/python3.10/typing.py:483(Union)
  282/168    0.001    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:1037(__hash__)
      275    0.001    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:137(_type_convert)
      571    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      127    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      120    0.001    0.000    0.007    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:241(handle_comment)
      264    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/typing_extensions.py:154(_should_collect_from_parameters)
       67    0.001    0.000    0.003    0.000 /usr/lib/python3.10/enum.py:89(__setitem__)
   120/45    0.001    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:175(getwidth)
      127    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      264    0.001    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/typing_extensions.py:2976(_is_unpacked_typevartuple)
      401    0.001    0.000    0.001    0.000 /usr/lib/python3.10/sre_parse.py:250(match)
      571    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      281    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_state.py:301(_fire_event_triggered_transitions)
       79    0.001    0.000    0.031    0.000 /usr/lib/python3.10/re.py:288(_compile)
      115    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
    55/20    0.001    0.000    0.018    0.001 /usr/lib/python3.10/sre_parse.py:436(_parse_sub)
       47    0.001    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:267(_remove_dups_flatten)
    101/4    0.001    0.000    0.220    0.055 <frozen importlib._bootstrap_external>:877(exec_module)
  340/196    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
      277    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:248(_server_switch_event)
      349    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      285    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:205(our_state)
