         445860 function calls (441040 primitive calls) in 3.276 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      326    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_receivebuffer.py:53(__iadd__)
      326    0.001    0.000    0.004    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_receivebuffer.py:57(__bool__)
      326    0.001    0.000    0.002    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:352(receive_data)
      326    0.004    0.000    1.338    0.004 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_backends/sync.py:124(read)
      326    1.318    0.004    1.318    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      326    0.002    0.000    1.321    0.004 /usr/lib/python3.10/ssl.py:1150(read)
      326    0.002    0.000    1.323    0.004 /usr/lib/python3.10/ssl.py:1281(recv)
      308    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      303    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      303    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
  298/297    0.005    0.000    0.036    0.000 {built-in method builtins.__build_class__}
      293    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:205(our_state)
      292    0.001    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:1737(cast)
      289    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_state.py:301(_fire_event_triggered_transitions)
      289    0.002    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:330(_respond_to_state_changes)
      288    0.002    0.000    0.006    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_state.py:275(process_event)
      288    0.002    0.000    0.003    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_state.py:318(_fire_state_triggered_transitions)
      288    0.003    0.000    0.014    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:260(_process_event)
      285    0.008    0.000    1.415    0.005 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/httpcore/_sync/http11.py:209(_receive_event)
      285    0.001    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/h11/_connection.py:248(_server_switch_event)
