         371992 function calls (369258 primitive calls) in 3.109 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    1.743    1.743 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/requests/sessions.py:673(send)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:112(__init__)
        2    0.000    0.000    1.116    0.558 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/connection.py:485(getresponse)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       68    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
       63    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.002    0.001 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/connection.py:369(request)
       72    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
    43/13    0.000    0.000    0.002    0.000 /usr/lib/python3.10/abc.py:121(__subclasscheck__)
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:909(__iter__)
       32    0.000    0.000    0.000    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/requests/structures.py:51(__getitem__)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.10/os.py:675(__getitem__)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.10/os.py:755(encode)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:292(_optimize_charset)
        2    0.000    0.000    1.319    0.660 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/connectionpool.py:592(urlopen)
      3/2    0.000    0.000    1.426    0.713 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/requests/sessions.py:159(resolve_redirects)
       36    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:255(get)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/ssl.py:1360(_real_close)
        6    0.000    0.000    0.002    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/requests/cookies.py:124(extract_cookies_to_jar)
        8    0.000    0.000    0.002    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/builder/_htmlparser.py:182(handle_charref)
       56    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:560(_compile_info)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_collections_abc.py:821(get)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/encodings/__init__.py:43(normalize_encoding)
        2    0.000    0.000    0.000    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/poolmanager.py:95(_default_key_normalizer)
        3    0.000    0.000    0.001    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/util/url.py:367(parse_url)
        2    0.000    0.000    1.317    0.658 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/connectionpool.py:377(_make_request)
        6    0.000    0.000    0.001    0.000 /usr/lib/python3.10/http/cookiejar.py:1685(extract_cookies)
        8    0.000    0.000    0.001    0.000 /usr/lib/python3.10/email/message.py:564(get_content_type)
       18    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:359(__call__)
       41    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:234(__next)
        6    0.000    0.000    0.001    0.000 /usr/lib/python3.10/http/cookiejar.py:1604(make_cookies)
       56    0.000    0.000    0.000    0.000 /usr/lib/python3.10/urllib/parse.py:111(_noop)
       25    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
       46    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.10/email/message.py:459(<listcomp>)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:229(expanduser)
       40    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       52    0.000    0.000    0.000    0.000 /usr/lib/python3.10/enum.py:801(value)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    1.113    0.557 /usr/lib/python3.10/http/client.py:311(begin)
        1    0.000    0.000    1.019    1.019 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/bs4/__init__.py:122(__init__)
       23    0.000    0.000    0.000    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/util/util.py:19(to_str)
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:264(__enter__)
        2    0.000    0.000    1.324    0.662 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/requests/adapters.py:613(send)
       42    0.000    0.000    0.000    0.000 /home/varvara/s21/DS_Bootcamp.Day03-1/src/ex00/virtual-env/armondvi/lib/python3.10/site-packages/urllib3/_collections.py:289(__iter__)
       24    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:359(notify)
